run,maxOpenCanopiesBelow1000Ft,maxOpenCanopiesBelow500Ft,minHorizontalSeparationFt,fullyOpenAltitudeMinFt,fullyOpenAltitudeMaxFt,fullyOpenAltitudeSpreadFt,canopyCongestionScore,canopyCollisionExposurePairSeconds,estimatedCanopyCollisionRiskPer10k
23,6,4,0.3904821397522916,2662.0682975062437,3143.4523038078705,481.38400630162687,11.9,57.33,1.15
24,7,4,0.11869553635182481,2887.2979345521735,3150.066119151714,262.7681845995403,7.85,17.34,0.35
25,7,4,0.21292035524330305,2871.8530559259275,3199.4355650134075,327.58250908748005,5.45,27.86,0.56
26,7,4,0.7380682466696153,2774.1085151866564,3095.2203339368843,321.11181875022794,34.8,86.64,1.73
27,7,4,0.0477408642996005,2779.417409326491,3206.372892611893,426.9554832854019,50.05,91.13,1.82
28,7,6,0.31739533434837425,2772.072894907982,3175.5657629573884,403.4928680494063,3.05,52.28,1.05
29,6,4,0.2858981674110644,2625.663924458016,3087.517754179663,461.8538297216469,8.3,52.08,1.04
30,7,5,0.16775846014679502,2805.0093068686965,3131.2768699106487,326.26756304195214,28.3,70.79,1.42
31,8,5,0.9528089428315962,2762.1322806648022,3244.1989527777905,482.0666721129883,10.2,35.86,0.72
32,7,4,1.0301589815348695,2741.9335448739166,3122.391385491193,380.45784061727636,4.65,39.02,0.78
33,8,6,0.38206584201240507,2819.323908722101,3217.825390526288,398.5014818041873,46.4,134.25,2.68
34,7,4,0.21430100486310757,2837.5289769417973,3240.0998432364986,402.5708662947013,0,4.34,0.09
35,7,5,0.0029603603878797305,2617.119481928029,3255.3063433531847,638.1868614251557,50.8,49.61,0.99
36,8,6,0.06027264058586769,2744.965026956494,3114.12877361909,369.16374666259617,59.75,233.78,4.67
37,7,4,0.011905875339984088,2652.3701522091037,3108.3508561384324,455.9807039293287,19.2,17.74,0.35
38,8,5,1.056413811125106,2680.972013056469,3282.626965916043,601.6549528595738,2.65,19.01,0.38
39,7,4,0.30797937727997776,2765.2802488968296,3317.210909491551,551.9306605947213,0,25.78,0.52
40,6,4,0.5318118747249333,2780.955330372687,3205.2194568255877,424.26412645290065,0,17.76,0.36
41,7,4,0.1484128275712322,2764.1661936020864,3144.542625915261,380.3764323131745,14.9,0,0
42,6,4,0.07975420565108216,2771.8922334819013,3283.5729527136423,511.680719231741,29.45,58.72,1.17
43,7,4,0.634401453032326,2688.1984364491695,3177.3303320633768,489.1318956142072,10.3,38.98,0.78
44,8,5,0.11089576660784882,2860.4564061269134,3204.8101639665133,344.3537578395999,47.4,62.88,1.26
45,8,6,0.13118635207072457,2826.9057548544583,3152.8043477012516,325.89859284679324,76,144.99,2.9
46,7,5,0.002954798392687522,2738.375954842396,3080.884504009038,342.5085491666423,0,15.01,0.3
47,7,4,0.12110058141706669,2875.496013891836,3271.722805906262,396.2267920144259,0,22.47,0.45
48,7,4,0.10138121683342621,2669.8437001667935,3322.3145992087448,652.4708990419513,47.75,50.02,1
