cutoff_year_after_ge,period,cause,observed,expected,std_residual
2001,before,landing,21,20.463028169014084,0.11870432767809015
2001,before,malfunction,8,10.80281690140845,-0.8527588202124745
2001,before,no_pull_or_low_pull,7,5.713028169014085,0.5384381935510193
2001,before,reserve_problem,10,4.674295774647887,2.463309310960606
2001,before,canopy_collision,3,4.362676056338028,-0.652403288998004
2001,before,freefall_collision,5,4.154929577464789,0.4145825973279167
2001,before,medical,2,3.2200704225352115,-0.6799112293779842
2001,before,other_rare_or_unknown,3,5.609154929577465,-1.1016690535677056
2001,after,landing,176,176.53697183098592,-0.04041417030468892
2001,after,malfunction,96,93.19718309859155,0.29033094970515894
2001,after,no_pull_or_low_pull,48,49.28697183098591,-0.18331709785452258
2001,after,reserve_problem,35,40.32570422535211,-0.8386602574108348
2001,after,canopy_collision,39,37.63732394366197,0.22211774536482193
2001,after,freefall_collision,35,35.84507042253521,-0.14114912254259024
2001,after,medical,29,27.779929577464788,0.23148312073902477
2001,after,other_rare_or_unknown,51,48.390845070422536,0.37507512675553656
2002,before,landing,33,32.602112676056336,0.06968466738163283
2002,before,malfunction,15,17.211267605633804,-0.5330094084808042
2002,before,no_pull_or_low_pull,12,9.102112676056338,0.9605288009270223
2002,before,reserve_problem,16,7.447183098591549,3.1341022335232585
2002,before,canopy_collision,5,6.950704225352113,-0.7399068032050481
2002,before,freefall_collision,6,6.619718309859155,-0.24086548569602179
2002,before,medical,4,5.130281690140845,-0.4990178566265224
2002,before,other_rare_or_unknown,3,8.93661971830986,-1.9858781223658766
2002,after,landing,164,164.39788732394365,-0.03103215868376713
2002,after,malfunction,89,86.78873239436619,0.2373611465106518
2002,after,no_pull_or_low_pull,43,45.897887323943664,-0.4277452026491767
2002,after,reserve_problem,29,37.55281690140845,-1.395686619399449
2002,after,canopy_collision,37,35.04929577464789,0.3294972364941022
2002,after,freefall_collision,34,33.38028169014085,0.1072628492667806
2002,after,medical,27,25.869718309859156,0.22222393956564634
2002,after,other_rare_or_unknown,51,45.063380281690144,0.8843564493517939
2003,before,landing,46,44.04753521126761,0.2941862733031316
2003,before,malfunction,19,23.253521126760564,-0.882072397416038
2003,before,no_pull_or_low_pull,16,12.297535211267606,1.0558005881749561
2003,before,reserve_problem,20,10.06161971830986,3.133153417801658
2003,before,canopy_collision,5,9.390845070422536,-1.432833660799082
2003,before,freefall_collision,13,8.943661971830986,1.3563646132058187
2003,before,medical,4,6.931338028169014,-1.1134157556287083
2003,before,other_rare_or_unknown,4,12.07394366197183,-2.323598792680062
2003,after,landing,151,152.95246478873239,-0.15787194897020426
2003,after,malfunction,85,80.74647887323944,0.4733548134293883
2003,after,no_pull_or_low_pull,39,42.70246478873239,-0.5665842077115518
2003,after,reserve_problem,25,34.938380281690144,-1.6813736104584627
2003,after,canopy_collision,37,32.609154929577464,0.7689150144248302
2003,after,freefall_collision,27,31.056338028169016,-0.7278787096241492
2003,after,medical,27,24.068661971830984,0.5975027773444604
2003,after,other_rare_or_unknown,50,41.92605633802817,1.2469346917734367
2004,before,landing,57,52.71830985915493,0.589704573087586
2004,before,malfunction,23,27.830985915492956,-0.9157385044926123
2004,before,no_pull_or_low_pull,17,14.71830985915493,0.594740748326128
2004,before,reserve_problem,24,12.04225352112676,3.445842780582884
2004,before,canopy_collision,5,11.23943661971831,-1.8611145576403043
2004,before,freefall_collision,17,10.704225352112676,1.924294562336804
2004,before,medical,4,8.295774647887324,-1.4914648327660918
2004,before,other_rare_or_unknown,5,14.450704225352112,-2.4861061358134933
2004,after,landing,140,144.28169014084506,-0.3564590327871274
2004,after,malfunction,81,76.16901408450704,0.5535369344149317
2004,after,no_pull_or_low_pull,38,40.28169014084507,-0.35950325227669094
2004,after,reserve_problem,21,32.95774647887324,-2.0829103940502267
2004,after,canopy_collision,37,30.760563380281692,1.1249888934199836
2004,after,freefall_collision,23,29.295774647887324,-1.1631793440174487
2004,after,medical,27,22.704225352112676,0.9015465302231167
2004,after,other_rare_or_unknown,49,39.54929577464789,1.5027778806907794
2005,before,landing,65,60.00176056338028,0.6452604698326726
2005,before,malfunction,32,31.676056338028168,0.057557766622762
2005,before,no_pull_or_low_pull,19,16.75176056338028,0.5493034580962978
2005,before,reserve_problem,24,13.705985915492958,2.7805430119860612
2005,before,canopy_collision,5,12.79225352112676,-2.178660426909461
2005,before,freefall_collision,18,12.183098591549296,1.6665288010498007
2005,before,medical,4,9.441901408450704,-1.771009695329523
2005,before,other_rare_or_unknown,6,16.447183098591548,-2.5760449843519138
2005,after,landing,132,136.9982394366197,-0.4270311576385032
2005,after,malfunction,72,72.32394366197182,-0.038091531809438306
2005,after,no_pull_or_low_pull,36,38.24823943661972,-0.3635271376015386
2005,after,reserve_problem,21,31.294014084507044,-1.8401537933665275
2005,after,canopy_collision,37,29.20774647887324,1.4418299705320579
2005,after,freefall_collision,22,27.816901408450704,-1.1029030235414083
2005,after,medical,27,21.558098591549296,1.1720481197022592
2005,after,other_rare_or_unknown,48,37.55281690140845,1.7048177026587763
2006,before,landing,73,69.36619718309859,0.43630221137053027
2006,before,malfunction,38,36.61971830985915,0.22809209141670703
2006,before,no_pull_or_low_pull,24,19.366197183098592,1.0529684884383035
2006,before,reserve_problem,27,15.845070422535212,2.802333032052973
2006,before,canopy_collision,5,14.788732394366198,-2.545428958907003
2006,before,freefall_collision,22,14.084507042253522,2.109148416364652
2006,before,medical,4,10.915492957746478,-2.0931553715286837
2006,before,other_rare_or_unknown,7,19.014084507042252,-2.7551990026274487
2006,after,landing,124,127.63380281690141,-0.3216462575958919
2006,after,malfunction,66,67.38028169014085,-0.16815172070970455
2006,after,no_pull_or_low_pull,31,35.63380281690141,-0.7762586685240433
2006,after,reserve_problem,18,29.154929577464788,-2.0659073202168723
2006,after,canopy_collision,37,27.211267605633804,1.8765151247728586
2006,after,freefall_collision,18,25.91549295774648,-1.554884841649039
2006,after,medical,27,20.08450704225352,1.5430946125715983
2006,after,other_rare_or_unknown,47,34.985915492957744,2.0311596527170637
2007,before,landing,82,76.64964788732394,0.61112110501436
2007,before,malfunction,41,40.46478873239437,0.08413691990434338
2007,before,no_pull_or_low_pull,27,21.399647887323944,1.210631638885143
2007,before,reserve_problem,30,17.508802816901408,2.985216533022036
2007,before,canopy_collision,5,16.341549295774648,-2.805600114429699
2007,before,freefall_collision,25,15.56338028169014,2.3920182529433434
2007,before,medical,4,12.06161971830986,-2.3212370395928215
2007,before,other_rare_or_unknown,7,21.010563380281692,-3.056586919227858
2007,after,landing,115,120.35035211267606,-0.48770665494596427
2007,after,malfunction,63,63.53521126760563,-0.06714566953638365
2007,after,no_pull_or_low_pull,28,33.600352112676056,-0.9661474659078412
2007,after,reserve_problem,15,27.491197183098592,-2.3823591717968164
2007,after,canopy_collision,37,25.658450704225352,2.2390158606817727
2007,after,freefall_collision,15,24.43661971830986,-1.9089558700239535
2007,after,medical,27,18.93838028169014,1.8524687539467097
2007,after,other_rare_or_unknown,47,32.98943661971831,2.43931647867599
2008,before,landing,86,82.89260563380282,0.3413017210920298
2008,before,malfunction,44,43.76056338028169,0.03619504495697145
2008,before,no_pull_or_low_pull,28,23.142605633802816,1.0097113483310465
2008,before,reserve_problem,31,18.934859154929576,2.772690258616132
2008,before,canopy_collision,10,17.672535211267604,-1.825111755475406
2008,before,freefall_collision,25,16.830985915492956,1.9911999218767764
2008,before,medical,7,13.044014084507042,-1.6734773480247127
2008,before,other_rare_or_unknown,8,22.721830985915492,-3.0884470856591126
2008,after,landing,111,114.10739436619718,-0.29089715900771107
2008,after,malfunction,60,60.23943661971831,-0.030849641526713215
2008,after,no_pull_or_low_pull,27,31.857394366197184,-0.860593851409693
2008,after,reserve_problem,14,26.065140845070424,-2.3632102306987854
2008,after,canopy_collision,32,24.327464788732396,1.5555732412969951
2008,after,freefall_collision,15,23.169014084507044,-1.697132960352531
2008,after,medical,24,17.955985915492956,1.4263327024737813
2008,after,other_rare_or_unknown,46,31.278169014084508,2.6323350497304627
2009,before,landing,94,93.2975352112676,0.07272596200977209
2009,before,malfunction,49,49.25352112676056,-0.03612397346467009
2009,before,no_pull_or_low_pull,34,26.047535211267604,1.558182914371855
2009,before,reserve_problem,36,21.31161971830986,3.1817472604043404
2009,before,canopy_collision,15,19.890845070422536,-1.0966228435380758
2009,before,freefall_collision,25,18.943661971830984,1.391483750387718
2009,before,medical,7,14.681338028169014,-2.004721546814318
2009,before,other_rare_or_unknown,9,25.573943661971832,-3.2773815626693503
2009,after,landing,103,103.7024647887324,-0.06898108492172257
2009,after,malfunction,55,54.74647887323944,0.034263842133042274
2009,after,no_pull_or_low_pull,21,28.952464788732396,-1.4779474202818998
2009,after,reserve_problem,9,23.68838028169014,-3.017909586949413
2009,after,canopy_collision,27,22.109154929577464,1.0401544566304455
2009,after,freefall_collision,15,21.056338028169016,-1.319832094346097
2009,after,medical,24,16.318661971830984,1.9014924442886572
2009,after,other_rare_or_unknown,45,28.426056338028168,3.108619393236828
2010,before,landing,97,98.84683098591549,-0.18575725180607514
2010,before,malfunction,54,52.183098591549296,0.25151647037348035
2010,before,no_pull_or_low_pull,34,27.596830985915492,1.2188923699490284
2010,before,reserve_problem,36,22.579225352112676,2.8243795936372966
2010,before,canopy_collision,19,21.073943661971832,-0.4517769273995313
2010,before,freefall_collision,25,20.070422535211268,1.1003514949343458
2010,before,medical,9,15.554577464788732,-1.6619409596653907
2010,before,other_rare_or_unknown,11,27.095070422535212,-3.092058765222686
2010,after,landing,100,98.15316901408451,0.1864124822420371
2010,after,malfunction,50,51.816901408450704,-0.2524036564452601
2010,after,no_pull_or_low_pull,21,27.403169014084508,-1.2231918272848108
2010,after,reserve_problem,9,22.420774647887324,-2.83434216282083
2010,after,canopy_collision,23,20.926056338028168,0.4533705017564914
2010,after,freefall_collision,15,19.929577464788732,-1.1042328173738591
2010,after,medical,22,15.445422535211268,1.667803203475293
2010,after,other_rare_or_unknown,43,26.904929577464788,3.1029655319467757
2011,before,landing,106,106.13028169014085,-0.01264630714780702
2011,before,malfunction,55,56.028169014084504,-0.13736032077906288
2011,before,no_pull_or_low_pull,38,29.630281690140844,1.537598517344155
2011,before,reserve_problem,36,24.242957746478872,2.3878402953067526
2011,before,canopy_collision,24,22.62676056338028,0.2886922174799715
2011,before,freefall_collision,25,21.549295774647888,0.7433463180134117
2011,before,medical,10,16.700704225352112,-1.6396571830779751
2011,before,other_rare_or_unknown,12,29.091549295774648,-3.1688231827151188
2011,after,landing,91,90.86971830985915,0.013667018841250966
2011,after,malfunction,49,47.971830985915496,0.1484469790418834
2011,after,no_pull_or_low_pull,17,25.369718309859156,-1.6617015276642397
2011,after,reserve_problem,9,20.757042253521128,-2.580568218407916
2011,after,canopy_collision,18,19.37323943661972,-0.3119932111015892
2011,after,freefall_collision,15,18.450704225352112,-0.8033434594877404
2011,after,medical,21,14.299295774647888,1.7719975762414661
2011,after,other_rare_or_unknown,42,24.908450704225352,3.424585978861855
2012,before,landing,112,114.80105633802818,-0.26142607456801775
2012,before,malfunction,60,60.605633802816904,-0.07779534447459699
2012,before,no_pull_or_low_pull,40,32.05105633802817,1.4040683351602445
2012,before,reserve_problem,37,26.223591549295776,2.104398375492817
2012,before,canopy_collision,31,24.475352112676056,1.3188415012304382
2012,before,freefall_collision,26,23.309859154929576,0.557192412490361
2012,before,medical,11,18.065140845070424,-1.6622645691445486
2012,before,other_rare_or_unknown,14,31.468309859154928,-3.113968234615293
2012,after,landing,85,82.19894366197182,0.3089503742980338
2012,after,malfunction,44,43.394366197183096,0.09193765707489833
2012,after,no_pull_or_low_pull,15,22.948943661971832,-1.6593120575465479
2012,after,reserve_problem,8,18.776408450704224,-2.486954168037753
2012,after,canopy_collision,11,17.524647887323944,-1.5585919503944228
2012,after,freefall_collision,14,16.690140845070424,-0.6584836829278591
2012,after,medical,20,12.934859154929578,1.9644454428203981
2012,after,other_rare_or_unknown,40,22.531690140845072,3.680052394262124
2013,before,landing,119,121.39084507042253,-0.21699936692274008
2013,before,malfunction,66,64.08450704225352,0.23927869734009743
2013,before,no_pull_or_low_pull,42,33.890845070422536,1.392946379397671
2013,before,reserve_problem,37,27.72887323943662,1.7606231494437572
2013,before,canopy_collision,32,25.880281690140844,1.2029482163540046
2013,before,freefall_collision,27,24.64788732394366,0.47377078056280647
2013,before,medical,13,19.10211267605634,-1.3961739204513544
2013,before,other_rare_or_unknown,14,33.274647887323944,-3.3414096213565787
2013,after,landing,78,75.60915492957747,0.27495665910096734
2013,after,malfunction,38,39.91549295774648,-0.30318646615263567
2013,after,no_pull_or_low_pull,13,21.109154929577464,-1.7649815675376346
2013,after,reserve_problem,8,17.27112676056338,-2.230859315268116
2013,after,canopy_collision,10,16.119718309859156,-1.5242377308774693
2013,after,freefall_collision,13,15.352112676056338,-0.6003078849975927
2013,after,medical,18,11.897887323943662,1.7690711366355383
2013,after,other_rare_or_unknown,40,20.725352112676056,4.233850260508548
2014,before,landing,126,129.71478873239437,-0.3261665149494265
2014,before,malfunction,72,68.47887323943662,0.42550371585337227
2014,before,no_pull_or_low_pull,47,36.21478873239437,1.79219672250051
2014,before,reserve_problem,37,29.630281690140844,1.3538888080779625
2014,before,canopy_collision,32,27.654929577464788,0.8262482282178346
2014,before,freefall_collision,31,26.338028169014084,0.9084018628421863
