cutoff_year_after_ge,target,before_years,after_years,before_hit,before_total,before_prop,after_hit,after_total,after_prop,diff_pct_points,relative_risk,rr_low,rr_high,odds_ratio,or_low,or_high,fisher_p,two_prop_p,full_distribution_chi2,full_distribution_df,full_distribution_p
2019,freefall_collision,1999-2018,2019-2025,38,477,0.07966457023060797,2,91,0.02197802197802198,-5.768654825258598,0.275882012724118,0.06775019873393047,1.1234046005328213,0.25960969840331166,0.08696653514723802,1.1691711192464793,0.04583050349133939,0.048726458172692055,107.96490169084207,7,2.4264670671684894e-20
2019,landing,1999-2018,2019-2025,153,477,0.32075471698113206,44,91,0.4835164835164835,16.276176653535146,1.5074337427278603,1.1748172685631828,1.9342212184994925,1.9824780976220275,1.2606208727598058,3.1114365687124947,0.0037837867918376227,0.002795111279803475,107.96490169084207,7,2.4264670671684894e-20
2020,canopy_collision,1999-2019,2020-2025,39,492,0.07926829268292683,3,76,0.039473684210526314,-3.979460847240052,0.4979757085020243,0.1578022553767029,1.5714592016832702,0.4773445732349842,0.178287035908857,1.6764941307689787,0.34299576685563976,0.21725047199701497,74.63889406791512,7,1.6978562380425057e-13
2020,all_collision,1999-2019,2020-2025,77,492,0.1565040650406504,5,76,0.06578947368421052,-9.071459135643988,0.4203691045796309,0.17581570025084256,1.0050876220551515,0.3795500274373514,0.1675775524271101,1.0149300321270582,0.03538669583329034,0.03624326362907215,74.63889406791512,7,1.6978562380425057e-13
2020,freefall_collision,1999-2019,2020-2025,38,492,0.07723577235772358,2,76,0.02631578947368421,-5.091998288403937,0.34072022160664817,0.08391448398074658,1.383435420258549,0.3229018492176387,0.10769598077232402,1.457183658647156,0.14594748769228788,0.10636523621078808,74.63889406791512,7,1.6978562380425057e-13
2020,landing,1999-2019,2020-2025,160,492,0.3252032520325203,37,76,0.4868421052631579,16.16388532306376,1.4970394736842105,1.1501541565496243,1.9485450476411883,1.9685897435897435,1.2109741255088948,3.1942338389795357,0.009197225591725639,0.005861524368885096,74.63889406791512,7,1.6978562380425057e-13
2021,canopy_collision,1999-2020,2021-2025,39,503,0.0775347912524851,3,65,0.046153846153846156,-3.138094509863894,0.5952662721893491,0.18932280198650162,1.8716284097225027,0.575682382133995,0.21389215037046075,2.0274887482571335,0.4585377140428107,0.36290875873155093,55.790706891592365,7,1.0391564826582977e-09
2021,all_collision,1999-2020,2021-2025,77,503,0.15308151093439365,5,65,0.07692307692307693,-7.615843401131672,0.5024975024975025,0.21118105073875276,1.1956742289751843,0.461038961038961,0.20221959122027508,1.237730427700727,0.1318402568959464,0.10017153427163494,55.790706891592365,7,1.0391564826582977e-09
2021,freefall_collision,1999-2020,2021-2025,38,503,0.07554671968190854,2,65,0.03076923076923077,-4.477748891267777,0.4072874493927126,0.1006098669287381,1.6487753288682534,0.38847117794486213,0.12897744970502456,1.7568581314607024,0.2986268284661262,0.18424928643810823,55.790706891592365,7,1.0391564826582977e-09
2021,landing,1999-2020,2021-2025,165,503,0.32803180914512925,32,65,0.49230769230769234,16.42758831625631,1.5007925407925407,1.1379609310631484,1.9793107030434065,1.9864095500459138,1.1830582340752374,3.3280691018954123,0.01222466200890563,0.008829231744535537,55.790706891592365,7,1.0391564826582977e-09
2022,canopy_collision,1999-2021,2022-2025,39,513,0.07602339181286549,3,55,0.05454545454545454,-2.147793726741095,0.7174825174825175,0.22925337788349898,2.2454681699593118,0.7011834319526629,0.25878793397755456,2.478287581841734,0.7869014025845719,0.562939288234727,43.74655370630545,7,2.3926382498248076e-07
2022,all_collision,1999-2021,2022-2025,77,513,0.15009746588693956,5,55,0.09090909090909091,-5.918837497784865,0.6056670602125148,0.2561054797394246,1.4323496248487348,0.5662337662337663,0.2462628033893666,1.5279491273594037,0.31290705525323226,0.23525475413916785,43.74655370630545,7,2.3926382498248076e-07
2022,freefall_collision,1999-2021,2022-2025,38,513,0.07407407407407407,2,55,0.03636363636363636,-3.7710437710437708,0.4909090909090909,0.1217274487941667,1.9797649414692953,0.4716981132075471,0.15570982564364144,2.1391242861576476,0.4115047932336183,0.2989012433089693,43.74655370630545,7,2.3926382498248076e-07
2022,landing,1999-2021,2022-2025,170,513,0.3313840155945419,27,55,0.4909090909090909,15.952507531454902,1.4813903743315509,1.1019747774213882,1.9914407172706117,1.9455882352941176,1.1158023608812369,3.386827736638334,0.0246371144302431,0.018165127060529196,43.74655370630545,7,2.3926382498248076e-07
2023,canopy_collision,1999-2022,2023-2025,39,533,0.07317073170731707,3,35,0.08571428571428572,1.2543554006968647,1.1714285714285715,0.38090923203298555,3.6025509033615437,1.1875,0.4271999080642466,4.254775176620184,0.7369032685571696,0.783538847332192,20.142220229064723,7,0.005270544925670259
