label,cutoff_year_after_ge,before_years,after_years,before_hit,before_total,before_prop,after_hit,after_total,after_prop,diff_pct_points,relative_risk,rr_low,rr_high,odds_ratio,or_low,or_high,fisher_p,bonferroni_p_across_cutoffs,permutation_scan_p,permutations
candidate_2004,2004,1999-2003,2004-2025,5,152,0.03289473684210526,37,416,0.0889423076923077,5.6047570850202435,2.703846153846154,1.0826905662810435,6.75242239228204,2.8701846965699205,1.061458658709374,6.615985619115959,0.028290071251559967,0.6506716387858793,,
scan_best_2007,2007,1999-2006,2007-2025,5,221,0.02262443438914027,37,347,0.10662824207492795,8.400380768578767,4.712968299711815,1.8809747320256451,11.808808388493357,5.156129032258065,1.9105478374529363,11.829648285134375,0.00010834468902989151,0.002491927847687505,0.01184940752962352,20000
candidate_2010,2010,1999-2009,2010-2025,19,285,0.06666666666666667,23,283,0.0812720848056537,1.4605418138987039,1.2190812720848057,0.6791940671746116,2.188121510145401,1.2384615384615385,0.6604368516408018,2.3015169349680193,0.5255273353947592,1.0,,
